txid	vout	value	spk_hex	spk_type	address	is_target	block_height
000a8a4d971444418d9f4ee0908649ac9107a3eedd874adcfec4e4fea2ec7f3d	0	299500000	76a9148bd8dac38483e2416c9078844f01968c62c11dda88ac	p2pkh	1DkShyysTHcGxSh1qPoVq3qXwXH2ZYAknt	0	439887
000a8a4d971444418d9f4ee0908649ac9107a3eedd874adcfec4e4fea2ec7f3d	1	99833333	76a914e9a83d2236e513dc5129854803bcb3a5b4bda05b88ac	p2pkh	1NJTz8k11WEMDdTMrg1E21EDGPdwfhwzkh	0	439887
000a8a4d971444418d9f4ee0908649ac9107a3eedd874adcfec4e4fea2ec7f3d	2	199666666	76a91444b3bc489a4fd48a3da0114bb1fad92b3935a57b88ac	p2pkh	17GGGHWtyi7e1rxnEpcKpE7fHq1UZBguAb	1	439887
000a8a4d971444418d9f4ee0908649ac9107a3eedd874adcfec4e4fea2ec7f3d	3	8280009	a9147e255ad2a53242182b211c93050afaa239cebfa287	p2sh	3DC1pAoNLYwXQ7aTdrWR6udbe41bEwouBp	0	439887
0023adc90c176b4e302b5399ae236671832c8dcfce4e23099f03a2029c05364f	0	119500000	76a914fe75a6f1f5ed4035e2c078f019f4c1047c0d482888ac	p2pkh	1QCTaLchEUgYjQGWXcrefotNBoKQs8Tci1	0	440648
0023adc90c176b4e302b5399ae236671832c8dcfce4e23099f03a2029c05364f	1	119499999	76a91444b3bc489a4fd48a3da0114bb1fad92b3935a57b88ac	p2pkh	17GGGHWtyi7e1rxnEpcKpE7fHq1UZBguAb	1	440648
0023adc90c176b4e302b5399ae236671832c8dcfce4e23099f03a2029c05364f	2	24840027	a914666893346114c220d19eef09b5fdf3e72433498487	p2sh	3B2W87LbDG83EVprnpNLM7J9wpW3363Z1X	0	440648
0038a9a782925bcd10e7112587edec6c8cf960d487b6c3983dfe4a2c66c8be97	0	44500000	76a914b0d0c9802d26bce6512b9b4dae1bdcf93ca7197c88ac	p2pkh	1H7v3YcTBHVBcAPcaY81bfJJuQeKSUxQyC	0	440169
0038a9a782925bcd10e7112587edec6c8cf960d487b6c3983dfe4a2c66c8be97	1	44499999	76a91444b3bc489a4fd48a3da0114bb1fad92b3935a57b88ac	p2pkh	17GGGHWtyi7e1rxnEpcKpE7fHq1UZBguAb	1	440169
0038a9a782925bcd10e7112587edec6c8cf960d487b6c3983dfe4a2c66c8be97	2	152760003	a9143978a26a9b494127130dc56868dcb048d3bb93f587	p2sh	36vtxJhBjzXTvcBJwyEksJgxqDtrheRhyT	0	440169
0038de69bf17e26894817c85742db64220589ee22714c09c350b91abb29c93f5	0	299500000	76a914cda83071a596606b10916812f0c23a630644c59f88ac	p2pkh	1KkR1KT4TAGRadrmzrMA6H3TbdPxEYmQGs	0	441234
0038de69bf17e26894817c85742db64220589ee22714c09c350b91abb29c93f5	1	99833333	76a914ac6c78970adf1d4fd5019e62aa8d41fa2d37f1cf88ac	p2pkh	1GihAhMp56Jd8o1FabFjuehAWbvRCdGWKy	0	441234
0038de69bf17e26894817c85742db64220589ee22714c09c350b91abb29c93f5	2	99833333	76a914c095aa3f8a805c10ca9fc7b7f050a0e530d610c588ac	p2pkh	1JZJ2jvwfULThwGb5Q4JdX4bgy6o73gXRT	0	441234
0038de69bf17e26894817c85742db64220589ee22714c09c350b91abb29c93f5	3	99833333	76a91444b3bc489a4fd48a3da0114bb1fad92b3935a57b88ac	p2pkh	17GGGHWtyi7e1rxnEpcKpE7fHq1UZBguAb	1	441234
0038de69bf17e26894817c85742db64220589ee22714c09c350b91abb29c93f5	4	920001	a91476a6325e340829beeea0353587ed0dffb4a56a4587	p2sh	3CWNkjRwvmsCCZQPo86L8bJSceNp8rMFHg	0	441234
003ba622dc466440d50bb697ad5f2dbc07077d671f4b6dd10dce19dfcc69faf8	0	449500000	76a914858dc80f6aec76ad73e9fb177673604e0ce8d56f88ac	p2pkh	1DBAifVqLiuntxDSsACBRhCWw3GgR73XJH	0	445610
003ba622dc466440d50bb697ad5f2dbc07077d671f4b6dd10dce19dfcc69faf8	1	149833333	76a9148f2f811a9b6c3e68e56ac2d3715e0c30d2df012388ac	p2pkh	1E46Y6BAeuWxqyPFzQKF6czc8dvFAH8fmK	0	445610
003ba622dc466440d50bb697ad5f2dbc07077d671f4b6dd10dce19dfcc69faf8	2	299666666	76a91444b3bc489a4fd48a3da0114bb1fad92b3935a57b88ac	p2pkh	17GGGHWtyi7e1rxnEpcKpE7fHq1UZBguAb	1	445610
003ba622dc466440d50bb697ad5f2dbc07077d671f4b6dd10dce19dfcc69faf8	3	13840015	a914d96fd159e78b9e4bc5e6c4a85aaab41180541d9087	p2sh	3MWiWQXKGC8wCn6MtoU244vojG7h9Zbu1r	0	445610
004420da4279f251aba16ac73a03af7a7020706fcb31a56eb9dcfb6e6284d3d9	0	44500000	76a9143f0b644afe5baaa6d1de0dd1e8098a900fc7616488ac	p2pkh	16kMDbm8Nim49mwQ1ApHTtHqyfiTbgDpCL	0	445337
004420da4279f251aba16ac73a03af7a7020706fcb31a56eb9dcfb6e6284d3d9	1	14833333	76a9143e0209551b693f87278598cb6ecd5a404d83aa7488ac	p2pkh	16esLPZ6dxzzyqwLYkaL7ikEJU1y8RPbdF	0	445337
004420da4279f251aba16ac73a03af7a7020706fcb31a56eb9dcfb6e6284d3d9	2	14833333	76a91427c9e1dcbe1c8f6e0626ec9e45b26b22b9059cc688ac	p2pkh	14dPCWT1D9M5F2MrNeULMqoC5ifD4G9Sg6	0	445337
004420da4279f251aba16ac73a03af7a7020706fcb31a56eb9dcfb6e6284d3d9	3	14833333	76a91444b3bc489a4fd48a3da0114bb1fad92b3935a57b88ac	p2pkh	17GGGHWtyi7e1rxnEpcKpE7fHq1UZBguAb	1	445337
004420da4279f251aba16ac73a03af7a7020706fcb31a56eb9dcfb6e6284d3d9	4	940001	a9140ca75f5a67fbb702bbc0a8622a7aece5da2e2c9387	p2sh	32qvY67mDtvbyeBSApxsjWXmQwMBxUwC7E	0	445337
005f68d60a4b419548fc68d5742c730aca0498952bfe9db6d2c12900b7a30b2c	0	44500000	76a914540f4c94d5b31df5eaed199ddc376590af08f55988ac	p2pkh	18fU67nnMs43W4DAoWJaHCJkX5BEv8XYQa	0	438728
005f68d60a4b419548fc68d5742c730aca0498952bfe9db6d2c12900b7a30b2c	1	14833333	76a914ad15a683f86c2be98d697bd35fccdabf970ffff088ac	p2pkh	1GnBqVDCVcxRnxfUFHhAiddwQ7j3zpP4Gv	0	438728
005f68d60a4b419548fc68d5742c730aca0498952bfe9db6d2c12900b7a30b2c	2	29666666	76a91444b3bc489a4fd48a3da0114bb1fad92b3935a57b88ac	p2pkh	17GGGHWtyi7e1rxnEpcKpE7fHq1UZBguAb	1	438728
005f68d60a4b419548fc68d5742c730aca0498952bfe9db6d2c12900b7a30b2c	3	7380008	a914421b74c232854e17a74d71cba51a56c0b73b1d8287	p2sh	37iZQtQAsNCDLBA4PZ6QhkPoWETHCzcmEW	0	438728
00669dbad129925e48cdeb5f81196d3b267d773e39975d1fd3c641692d52ece1	0	119500000	76a91499158bbe86130b15c055a5ceaecffab3b0dcf61988ac	p2pkh	1ExSCPFxeqxBdjjqqK7PBsibtKBFFEewzW	0	445587
00669dbad129925e48cdeb5f81196d3b267d773e39975d1fd3c641692d52ece1	1	39833333	76a9148395556ef7f029b9b69b7542888a0ebb90a03d5688ac	p2pkh	1CzkR26TgQKgWX2kwKx3K3LmC5cCyTRjhq	0	445587
00669dbad129925e48cdeb5f81196d3b267d773e39975d1fd3c641692d52ece1	2	79666666	76a91444b3bc489a4fd48a3da0114bb1fad92b3935a57b88ac	p2pkh	17GGGHWtyi7e1rxnEpcKpE7fHq1UZBguAb	1	445587
00669dbad129925e48cdeb5f81196d3b267d773e39975d1fd3c641692d52ece1	3	2760003	a91465c420fb142940dacb242df6e57cdfbb71f1fbb787	p2sh	3Ay78Bu6dhEPHoQyQvzSCdZJnKdvuLvoDy	0	445587
0067c09e06e8f527277825ff6242e6726cf31b7032a2487f8f8fc1058f4c702b	0	89500000	76a914906447d9b492d813c65b8cab6e9ce62822f0a2dc88ac	p2pkh	1EAUSFHq3zSxrG3YoxQn6vvu2rP7ac2e8o	0	444380
0067c09e06e8f527277825ff6242e6726cf31b7032a2487f8f8fc1058f4c702b	1	89499999	76a91444b3bc489a4fd48a3da0114bb1fad92b3935a57b88ac	p2pkh	17GGGHWtyi7e1rxnEpcKpE7fHq1UZBguAb	1	444380
0067c09e06e8f527277825ff6242e6726cf31b7032a2487f8f8fc1058f4c702b	2	1860002	a9148e0a7f55a4bbc854d955db6029a35ae936abc19987	p2sh	3Ee4T9zY9fiz97q8gjcA5PNMc9RSjTb6aS	0	444380
0081e4dfff598c332641f732b6671178cb94da488ea1c6ec35195f854caa375f	0	44500000	76a914694cf5b3b9ce57ccee03274a84946f4993c976ec88ac	p2pkh	1Abn9QG131UwHRoSUmbYxs2EX8EQL4Ndo5	0	438031
0081e4dfff598c332641f732b6671178cb94da488ea1c6ec35195f854caa375f	1	14833333	76a914a92fdea9422c8a159ebcd31b9fbe0f8de71b520888ac	p2pkh	1GRaYUDffLpUtidZN94UtodAdTsFvDnScr	0	438031
0081e4dfff598c332641f732b6671178cb94da488ea1c6ec35195f854caa375f	2	14833333	76a91421f2c2ce87dbf10b99435a1f9538a502ade857e788ac	p2pkh	146W7fA7LyPPsdW1n3jhhw4Zxg7aGaGcwx	0	438031
0081e4dfff598c332641f732b6671178cb94da488ea1c6ec35195f854caa375f	3	14833333	76a91444b3bc489a4fd48a3da0114bb1fad92b3935a57b88ac	p2pkh	17GGGHWtyi7e1rxnEpcKpE7fHq1UZBguAb	1	438031
