txid,input_index,script_type,pubkey_hex,r,s,sighash_type,z,ecdsa_valid
000a8a4d971444418d9f4ee0908649ac9107a3eedd874adcfec4e4fea2ec7f3d,0,P2SH,03f016af3ca5275723a1631600c825b020a5f3a5665019eabe1b157f1ed0e35130,a214496d68aca45699fa2828bc66761f91a4b72113ad0b07a7056ad5e2047555,51cbc9490593a4b7c5b5e32d86a45e4488a7a0eea8ed4564ed1982f77b11a92b,1,b5850ec8a82947f90759637427f2df37e1929dc86e6e7ebc02536fefe470f491,true
000a8a4d971444418d9f4ee0908649ac9107a3eedd874adcfec4e4fea2ec7f3d,0,P2SH,03c511b8fe3a5e60ad16bb14b0865f8a3f192ddb386c4f8d23f72edd24764e0e23,b4d1b077c220d13744a28fb9ced8c651247862b7e07265ab1803bc58e62568e9,4a0a8a12d5c2e9dc3c63e50ea5fd5d5d6a591b12f3dee33430f7cd602258e784,1,b5850ec8a82947f90759637427f2df37e1929dc86e6e7ebc02536fefe470f491,true
000a8a4d971444418d9f4ee0908649ac9107a3eedd874adcfec4e4fea2ec7f3d,1,P2SH,03f016af3ca5275723a1631600c825b020a5f3a5665019eabe1b157f1ed0e35130,d5a8d068973f43f4716680d05004e280fab3f0074cff0ed942493d7e24b02453,74161b6720902c9f5127dbabbcb7a07f0f4687c54dd9d203e5272ddb44263f23,1,01b8e94776ae9b216f9f6ed079e2f710d1a74d8a0bd010dec171ff7aff22cd4c,true
000a8a4d971444418d9f4ee0908649ac9107a3eedd874adcfec4e4fea2ec7f3d,1,P2SH,03c511b8fe3a5e60ad16bb14b0865f8a3f192ddb386c4f8d23f72edd24764e0e23,404eeda73f99c080334e78943d67b48b7f0479a7e3fcb1d400545620a4f89fd6,3748a7b7b7f58e78cd4e2ed19011a575aa63cfca02c6934f912a4b13bc9a0899,1,01b8e94776ae9b216f9f6ed079e2f710d1a74d8a0bd010dec171ff7aff22cd4c,true
0023adc90c176b4e302b5399ae236671832c8dcfce4e23099f03a2029c05364f,0,P2SH,034896939f2ea6672c6c8d0ab5905283d7766235c90b4c113a64309b134ee2a1ff,dc0933452f25f7b433cd5b60757a7c9718ff2fe564a376c2c03885bff3d6e7d9,7ac2587808eb3d1301d1ccec66adb4b9599167a9ef717c59abce0d1af5a9c481,1,fb250fa735b63b859017d6313831c37278a66b4c8998cefbc2b98e1484dee0b7,true
0023adc90c176b4e302b5399ae236671832c8dcfce4e23099f03a2029c05364f,0,P2SH,03c511b8fe3a5e60ad16bb14b0865f8a3f192ddb386c4f8d23f72edd24764e0e23,b4d5cfed4857b0dc05d46248c4ab07c9be1e5ddc3ee00b30433a04df0166539d,53cc046347176ef839fa3a3ce0324664f4d7dc0fe77791e56577e1ae0250d6cb,1,fb250fa735b63b859017d6313831c37278a66b4c8998cefbc2b98e1484dee0b7,true
0023adc90c176b4e302b5399ae236671832c8dcfce4e23099f03a2029c05364f,1,P2SH,034896939f2ea6672c6c8d0ab5905283d7766235c90b4c113a64309b134ee2a1ff,111c2785adc812ebf4d8273ebaec0b18f06b3478b6b344452d85948f66d350a7,3836c459df57f4eed00a8e939cc68d02b2064500703379e5d6e540307ef92883,1,f414bc58c3c45f38bb5a341b072a60392bff5777c22ee001f0c3b7fd920f56d1,true
0023adc90c176b4e302b5399ae236671832c8dcfce4e23099f03a2029c05364f,1,P2SH,03c511b8fe3a5e60ad16bb14b0865f8a3f192ddb386c4f8d23f72edd24764e0e23,311e279849b1249eadc4ab25f5be17b745f931cf2499763686611cfb8e6ef37f,51b606aaf62c29f7f7167015a0049f6487872dbbdf95108b3b8c720c27c6fd4d,1,f414bc58c3c45f38bb5a341b072a60392bff5777c22ee001f0c3b7fd920f56d1,true
0023adc90c176b4e302b5399ae236671832c8dcfce4e23099f03a2029c05364f,2,P2SH,034896939f2ea6672c6c8d0ab5905283d7766235c90b4c113a64309b134ee2a1ff,1ccae35b55d181f1f1444cc1a1aa381e6ca1963cedb41fee4c773c65aa1496d0,014a44551f055a00d1e97577415f4414ff15bfb954df547f184f38788cc36e1d,1,6362f332dc07300c8cbc93c5ea7c449786a15f8b7ca47fdf1ca4969121ddad1b,true
0023adc90c176b4e302b5399ae236671832c8dcfce4e23099f03a2029c05364f,2,P2SH,03c511b8fe3a5e60ad16bb14b0865f8a3f192ddb386c4f8d23f72edd24764e0e23,fd9818b8151dea57556bc537cfa91041e4d85d70f782ec79c49896635b9d4079,6331213396219d81c54530787e7dffafbfdace0fa29cf4cd12701b881f95240a,1,6362f332dc07300c8cbc93c5ea7c449786a15f8b7ca47fdf1ca4969121ddad1b,true
0038a9a782925bcd10e7112587edec6c8cf960d487b6c3983dfe4a2c66c8be97,0,P2SH,02c0e8f7619a5eced1d5be30abea16fcea685e0e5fb7241a8c6a790026267ed7fa,53e8f93b91903f6e25c95de08c8fa0101b196f31d4d4130d2e4e2926e47c8808,6095ccdd06176214f232bf6fc4edd294af9f74cb305f9e5d3794d397c7e19922,1,c294f8072bd96e8a781055bf270bc687431e4c3ba629bdf4e89e7a9b09c39b1f,true
0038a9a782925bcd10e7112587edec6c8cf960d487b6c3983dfe4a2c66c8be97,0,P2SH,03c511b8fe3a5e60ad16bb14b0865f8a3f192ddb386c4f8d23f72edd24764e0e23,fe8bdc34902f929ec72d3e25fba8f239259d92355905dcc20beecda380b5dfff,5b21801262b9fc11daabf51ef9def33f4bfedbe02255284dbe74f7b2dc501638,1,c294f8072bd96e8a781055bf270bc687431e4c3ba629bdf4e89e7a9b09c39b1f,true
