txid	vin	sig_index	prev_txid	prev_vout	r_hex	r_dec	s_hex	s_dec	sighash_byte	sighash_name	der_strict	low_s	pubkey	pubkey_h160	prevout_type	z_method	is_target_key	verify_openssl	verify_pure	verify_zalt	block_height	block_time
000a8a4d971444418d9f4ee0908649ac9107a3eedd874adcfec4e4fea2ec7f3d	0	0	4da81b0dd2224619e2e865e7e21fdb171c563a3a7b2947368fa3ab26ab7ea3ad	3	a214496d68aca45699fa2828bc66761f91a4b72113ad0b07a7056ad5e2047555	73310525188925724144586676602941771323596760001365279198621389051001731052885	51cbc9490593a4b7c5b5e32d86a45e4488a7a0eea8ed4564ed1982f77b11a92b	36997399909073699524683709368317663357025990397062818863575038191927804668203	0x01	SIGHASH_ALL	1	1	03f016af3ca5275723a1631600c825b020a5f3a5665019eabe1b157f1ed0e35130	522e734a3b5e61bd5d26c7875470db9034210d8b	p2sh	legacy	0	True		1	439887	1479709609
000a8a4d971444418d9f4ee0908649ac9107a3eedd874adcfec4e4fea2ec7f3d	0	1	4da81b0dd2224619e2e865e7e21fdb171c563a3a7b2947368fa3ab26ab7ea3ad	3	b4d1b077c220d13744a28fb9ced8c651247862b7e07265ab1803bc58e62568e9	81786801717561405579367416977287861550184710262582477960613492263382983993577	4a0a8a12d5c2e9dc3c63e50ea5fd5d5d6a591b12f3dee33430f7cd602258e784	33489772214596094584876220254772573067648739763446311981252350066307624396676	0x01	SIGHASH_ALL	1	1	03c511b8fe3a5e60ad16bb14b0865f8a3f192ddb386c4f8d23f72edd24764e0e23	efb581a9340943a9c20d5d1112c499c41f129265	p2sh	legacy	0	True		1	439887	1479709609
000a8a4d971444418d9f4ee0908649ac9107a3eedd874adcfec4e4fea2ec7f3d	1	0	80e2f6e0d0d59a5a690350ae938fe0c65fb00639e89fe0f25d5cdf1d3c74e172	0	d5a8d068973f43f4716680d05004e280fab3f0074cff0ed942493d7e24b02453	96640905438121277049794667940365092362439341472274304843895098964620684043347	74161b6720902c9f5127dbabbcb7a07f0f4687c54dd9d203e5272ddb44263f23	52507350198539198771075043297559222119080840417420898145424497827929680920355	0x01	SIGHASH_ALL	1	1	03f016af3ca5275723a1631600c825b020a5f3a5665019eabe1b157f1ed0e35130	522e734a3b5e61bd5d26c7875470db9034210d8b	p2sh	legacy	0	True		1	439887	1479709609
000a8a4d971444418d9f4ee0908649ac9107a3eedd874adcfec4e4fea2ec7f3d	1	1	80e2f6e0d0d59a5a690350ae938fe0c65fb00639e89fe0f25d5cdf1d3c74e172	0	404eeda73f99c080334e78943d67b48b7f0479a7e3fcb1d400545620a4f89fd6	29087476603274969872642902343561497726240866890700339745433616935976798035926	3748a7b7b7f58e78cd4e2ed19011a575aa63cfca02c6934f912a4b13bc9a0899	25005577205427014617952866124349801842993755237559798581051747297446304811161	0x01	SIGHASH_ALL	1	1	03c511b8fe3a5e60ad16bb14b0865f8a3f192ddb386c4f8d23f72edd24764e0e23	efb581a9340943a9c20d5d1112c499c41f129265	p2sh	legacy	0	True		1	439887	1479709609
0023adc90c176b4e302b5399ae236671832c8dcfce4e23099f03a2029c05364f	0	0	e762088fafba3fbfb56268f19cf99793e3a7453ee365bf13c3e1eede12760974	2	dc0933452f25f7b433cd5b60757a7c9718ff2fe564a376c2c03885bff3d6e7d9	99525082166166913923667708843394444750188121669101094761509772132510676215769	7ac2587808eb3d1301d1ccec66adb4b9599167a9ef717c59abce0d1af5a9c481	55525546447536893437796102818836839437441512859340751794051598527435033396353	0x01	SIGHASH_ALL	1	1	034896939f2ea6672c6c8d0ab5905283d7766235c90b4c113a64309b134ee2a1ff	ac4d2c1f91b785fe723b3555ee0df0c590f4aec1	p2sh	legacy	0	True		1	440648	1480153826
0023adc90c176b4e302b5399ae236671832c8dcfce4e23099f03a2029c05364f	0	1	e762088fafba3fbfb56268f19cf99793e3a7453ee365bf13c3e1eede12760974	2	b4d5cfed4857b0dc05d46248c4ab07c9be1e5ddc3ee00b30433a04df0166539d	81794086228405450457264188555152941501774885133920024504303043343158520206237	53cc046347176ef839fa3a3ce0324664f4d7dc0fe77791e56577e1ae0250d6cb	37902433517132820529389246417558805393496208173398195148845976849742115690187	0x01	SIGHASH_ALL	1	1	03c511b8fe3a5e60ad16bb14b0865f8a3f192ddb386c4f8d23f72edd24764e0e23	efb581a9340943a9c20d5d1112c499c41f129265	p2sh	legacy	0	True		1	440648	1480153826
0023adc90c176b4e302b5399ae236671832c8dcfce4e23099f03a2029c05364f	1	0	16f147ad6fc751273679d8a558bb339f65a286b6a0f364bf8c5facb7a2239ee2	4	111c2785adc812ebf4d8273ebaec0b18f06b3478b6b344452d85948f66d350a7	7739062915811087019131369742642829436890055112566409401758770944683527065767	3836c459df57f4eed00a8e939cc68d02b2064500703379e5d6e540307ef92883	25426284427400999187757087367871801902666855062092968312795477969742052534403	0x01	SIGHASH_ALL	1	1	034896939f2ea6672c6c8d0ab5905283d7766235c90b4c113a64309b134ee2a1ff	ac4d2c1f91b785fe723b3555ee0df0c590f4aec1	p2sh	legacy	0	True		1	440648	1480153826
0023adc90c176b4e302b5399ae236671832c8dcfce4e23099f03a2029c05364f	1	1	16f147ad6fc751273679d8a558bb339f65a286b6a0f364bf8c5facb7a2239ee2	4	311e279849b1249eadc4ab25f5be17b745f931cf2499763686611cfb8e6ef37f	22216608266303492513343931791931798876604619256205920420324999155954872152959	51b606aaf62c29f7f7167015a0049f6487872dbbdf95108b3b8c720c27c6fd4d	36958952920628249306773022770381798241030386258008244755149667186949784796493	0x01	SIGHASH_ALL	1	1	03c511b8fe3a5e60ad16bb14b0865f8a3f192ddb386c4f8d23f72edd24764e0e23	efb581a9340943a9c20d5d1112c499c41f129265	p2sh	legacy	0	True		1	440648	1480153826
0023adc90c176b4e302b5399ae236671832c8dcfce4e23099f03a2029c05364f	2	0	a11614c8b22fb08b55a1dc6dc55fecd2bc2956921e4448a6b7f76c56710c1afc	0	1ccae35b55d181f1f1444cc1a1aa381e6ca1963cedb41fee4c773c65aa1496d0	13023232026230291896369337737311820665464941418530412997649584679671991408336	014a44551f055a00d1e97577415f4414ff15bfb954df547f184f38788cc36e1d	583531144990797846897349893811368618992110347739691389657334261089552264733	0x01	SIGHASH_ALL	1	1	034896939f2ea6672c6c8d0ab5905283d7766235c90b4c113a64309b134ee2a1ff	ac4d2c1f91b785fe723b3555ee0df0c590f4aec1	p2sh	legacy	0	True		1	440648	1480153826
0023adc90c176b4e302b5399ae236671832c8dcfce4e23099f03a2029c05364f	2	1	a11614c8b22fb08b55a1dc6dc55fecd2bc2956921e4448a6b7f76c56710c1afc	0	fd9818b8151dea57556bc537cfa91041e4d85d70f782ec79c49896635b9d4079	114703882050179085010581297935455190824638522263320395909901848802955913674873	6331213396219d81c54530787e7dffafbfdace0fa29cf4cd12701b881f95240a	44865776664314909661133891759080440256221944819023140241452038506573758538762	0x01	SIGHASH_ALL	1	1	03c511b8fe3a5e60ad16bb14b0865f8a3f192ddb386c4f8d23f72edd24764e0e23	efb581a9340943a9c20d5d1112c499c41f129265	p2sh	legacy	0	True		1	440648	1480153826
